date,open,high,low,close,average_price,day_variation,timeHigh,timeLow,volume,marketCap,circulatingSupply
2025-11-30,90838.21,91965.04,90394.31,90394.31,91179.67,-0.49%,13:26:00,23:59:00,38497902869.11,1803803900068.52,19955987.0
2025-11-29,90918.74,91187.62,90260.19,90851.75,90723.9,-0.07%,16:22:00,18:14:00,37921773455.29,1812721245279.9,19955493.0
2025-11-28,91285.38,92969.09,90257.12,90919.27,91613.1,-0.4%,14:31:00,17:43:00,60895830288.66,1814288819155.76,19955059.0
2025-11-27,90517.77,91897.58,90089.52,91285.37,90993.55,0.85%,09:38:00,00:16:00,57040622844.67,1821561772280.62,19954584.0
2025-11-26,87345.59,90581.15,86316.9,90518.37,88449.02,3.63%,22:12:00,12:23:00,66496301869.43,1806202811723.68,19954125.0
2025-11-25,88269.96,88457.33,86131.43,87341.89,87294.38,-1.05%,04:56:00,14:52:00,64837343544.92,1742845443841.14,19953446.0
2025-11-24,86798.77,89206.34,85272.2,88270.56,87239.27,1.7%,20:56:00,14:51:00,74433896109.64,1761274125685.88,19953268.0
2025-11-23,84648.61,88038.47,84641.77,86805.01,86340.12,2.55%,23:01:00,00:02:00,58083435575.55,1731864376001.43,19952637.0
2025-11-22,85098.57,85503.01,83490.9,84648.36,84496.95,-0.53%,00:16:00,10:55:00,40793099246.11,1688942560012.89,19952396.0
2025-11-21,86528.77,87380.81,80659.81,85090.69,84020.31,-1.66%,00:40:00,12:30:00,129157506112.1,1697767449246.67,19950600.0
2025-11-20,91459.35,93025.07,86040.8,86631.9,89532.94,-5.28%,05:07:00,19:09:00,97970645637.66,1726300933847.71,19950600.0
2025-11-19,92946.17,92946.17,88526.83,91465.99,90736.5,-1.59%,00:00:00,20:12:00,80350354656.08,1824801361626.69,19950600.0
2025-11-18,92094.53,93745.08,89300.46,92948.87,91522.77,0.93%,16:35:00,06:53:00,101333569061.99,1854316908538.43,19950440.0
2025-11-17,94180.88,95928.37,91214.75,92093.87,93571.56,-2.22%,08:26:00,20:05:00,94186165724.42,1837303984873.06,19950196.0
2025-11-16,95556.87,96564.19,92971.17,94177.07,94767.68,-1.44%,10:00:00,22:12:00,71086235862.23,1878796595872.52,19948812.0
2025-11-15,94420.47,96728.47,94420.47,95549.15,95574.47,1.2%,03:29:00,00:00:00,38500716654.17,1906091949062.62,19948812.0
2025-11-14,99694.71,99804.43,94000.73,94397.79,96902.58,-5.31%,02:45:00,23:09:00,114346441890.18,1883576225586.52,19948812.0
2025-11-13,101674.15,104005.49,97988.72,99697.49,100997.11,-1.94%,07:29:00,20:22:00,101546815415.95,1988753566437.57,19948437.0
